mp4 330,637MB //home/yan/Documents/3(bad)/scripts/downloaded-file.mp4
ogg 0,019084MB //usr/share/sounds/gnome/default/alerts/sonar.ogg
ogg 0,00810146MB //usr/share/sounds/gnome/default/alerts/drip.ogg
ogg 0,0127048MB //usr/share/sounds/gnome/default/alerts/bark.ogg
ogg 0,0181189MB //usr/share/sounds/gnome/default/alerts/glass.ogg
webm 1,84457MB //usr/share/help/C/gnome-help/figures/gnome-task-switching.webm
webm 1,32484MB //usr/share/help/C/gnome-help/figures/gnome-launching-applications.webm
webm 0,57622MB //usr/share/help/C/gnome-help/figures/display-dual-monitors.webm
webm 4,06461MB //usr/share/help/C/gnome-help/figures/gnome-windows-and-workspaces.webm
ogv 0,283408MB //usr/share/help/C/gnome-mahjongg/figures/mahjongg-video.ogv
ogv 0,867847MB //usr/share/help/C/gnome-mahjongg/figures/hints-video.ogv
webm 1,85122MB //usr/share/help/fr/gnome-help/figures/gnome-task-switching.webm
webm 1,32561MB //usr/share/help/fr/gnome-help/figures/gnome-launching-applications.webm
webm 4,06006MB //usr/share/help/fr/gnome-help/figures/gnome-windows-and-workspaces.webm
ogg 0,00940514MB //usr/share/aisleriot/sounds/victory.ogg
ogg 0,00396729MB //usr/share/aisleriot/sounds/splat.ogg
ogg 0,00384903MB //usr/share/aisleriot/sounds/slide.ogg
ogg 0,00303841MB //usr/share/aisleriot/sounds/click.ogg
ogg 0,0127048MB //snap/snap-store/518/usr/share/sounds/gnome/default/alerts/bark.ogg
ogg 0,00810146MB //snap/snap-store/518/usr/share/sounds/gnome/default/alerts/drip.ogg
ogg 0,0181189MB //snap/snap-store/518/usr/share/sounds/gnome/default/alerts/glass.ogg
ogg 0,019084MB //snap/snap-store/518/usr/share/sounds/gnome/default/alerts/sonar.ogg
ogg 0,0127048MB //snap/gnome-3-34-1804/66/usr/share/sounds/gnome/default/alerts/bark.ogg
ogg 0,00810146MB //snap/gnome-3-34-1804/66/usr/share/sounds/gnome/default/alerts/drip.ogg
ogg 0,0181189MB //snap/gnome-3-34-1804/66/usr/share/sounds/gnome/default/alerts/glass.ogg
ogg 0,019084MB //snap/gnome-3-34-1804/66/usr/share/sounds/gnome/default/alerts/sonar.ogg
